package,has_py_typed,has_types_package
charset-normalizer,True,
idna,True,
certifi,True,
packaging,True,
urllib3,True,
pluggy,True,
boto3,False,True
sniffio,True,
cachetools,False,True
pydantic,True,
zipp,False,False
typing-extensions,False,True
click,True,
attrs,True,
httpx,True,
pip,True,
rsa,True,
platformdirs,True,
markupsafe,True,
iniconfig,True,
protobuf,False,True
jinja2,True,
google-auth,True,
importlib-metadata,True,
google-api-core,True,
h11,True,
anyio,True,
pytz,False,True
wrapt,False,False
annotated-types,True,
cryptography,True,
greenlet,False,True
pyparsing,True,
httpcore,True,
filelock,True,
referencing,True,
psutil,False,True
requests,False,True
aiobotocore,False,True
aiohappyeyeballs,True,
python-dateutil,False,True
s3transfer,False,True
tzdata,False,False
setuptools,False,True
six,False,True
pydantic-core,True,
pyyaml,False,True
pyjwt,True,
tomli,True,
aiohttp,True,
cffi,False,True
yarl,True,
colorama,False,True
jmespath,False,True
python-dotenv,True,
tqdm,False,True
aiosignal,True,
frozenlist,True,
propcache,True,
pyasn1-modules,False,False
jsonschema,False,True
rpds-py,True,
s3fs,False,False
fsspec,False,False
pygments,False,True
numpy,True,
typing-inspection,True,
grpcio-status,False,True
pyasn1,False,True
pycparser,False,False
googleapis-common-protos,False,False
wheel,False,False
requests-oauthlib,False,True
pytest,False,False
acme,True,
tomlkit,True,
sqlalchemy,True,
certbot-dns-cloudflare,True,
pathspec,True,
rich,True,
beautifulsoup4,True,
lxml,False,True
exceptiongroup,True,
soupsieve,True,
pandas,False,False
awscli,False,False
markdown-it-py,True,
virtualenv,False,False
cloudflare,True,
botocore,False,True
multidict,True,
oauthlib,False,True
openpyxl,False,True
grpcio-tools,False,False
jsonschema-specifications,False,False
distlib,False,False
requests-toolbelt,False,False
pillow,True,
grpcio,False,True
pyarrow,False,False
scipy,False,False
trove-classifiers,True,
more-itertools,True,
pyopenssl,True,
mdurl,True,
opentelemetry-semantic-conventions,True,
gitpython,True,
opentelemetry-instrumentation,True,
werkzeug,True,
flask,True,
itsdangerous,True,
starlette,True,
websocket-client,True,
uvicorn,True,
opentelemetry-sdk,True,
pynacl,True,
tenacity,True,
opentelemetry-api,True,
async-timeout,True,
et-xmlfile,False,False
fastapi,True,
isodate,False,False
poetry-core,True,
regex,False,True
azure-core,True,
azure-identity,True,
proto-plus,False,False
google-cloud-storage,False,False
google-cloud-core,False,False
coverage,True,
threadpoolctl,False,False
opentelemetry-proto,True,
huggingface-hub,True,
build,True,
jaraco-classes,True,
bcrypt,True,
yandexcloud,True,
pyproject-hooks,True,
fastjsonschema,False,False
chardet,True,
prompt-toolkit,True,
psycopg2-binary,False,False
pexpect,False,True
snowflake-connector-python,True,
backoff,True,
paramiko,False,True
langsmith,True,
keyring,True,
blinker,True,
opentelemetry-exporter-otlp-proto-http,True,
openai,True,
distro,True,
kiwisolver,True,
dnspython,True,
tabulate,False,True
jeepney,False,False
smmap,False,False
google-crc32c,True,
defusedxml,False,True
redis,True,
secretstorage,True,
google-resumable-media,False,False
zstandard,True,
opentelemetry-util-http,True,
websockets,True,
types-requests,True,
ruamel-yaml,True,
setuptools-scm,True,
opentelemetry-exporter-otlp-proto-common,True,
grpcio-health-checking,False,True
contourpy,True,
alembic,True,
ipython,True,
opentelemetry-instrumentation-requests,True,
tzlocal,True,
opentelemetry-exporter-otlp-proto-grpc,True,
uritemplate,True,
importlib-resources,True,
marshmallow,True,
docker,False,True
msal-extensions,False,False
cycler,True,
rapidfuzz,True,
google-genai,True,
prometheus-client,True,
sqlparse,False,False
jaraco-functools,True,
typer,True,
awswrangler,True,
jaraco-context,True,
parso,True,
toml,False,True
pydantic-settings,True,
pkginfo,True,
orjson,True,
scikit-learn,False,False
hatchling,True,
azure-storage-blob,True,
typedload,True,
traitlets,True,
jiter,True,
ruamel-yaml-clib,False,False
poetry,True,
mako,False,False
black,False,False
cachecontrol,True,
installer,True,
cython,False,False
langchain,True,
cleo,True,
langchain-core,True,
types-python-dateutil,True,
termcolor,True,
pycodestyle,False,False
gunicorn,False,False
pyzmq,True,
asgiref,True,
transformers,True,
tornado,True,
ply,False,False
python-multipart,False,False
jsonpointer,False,False
sentry-sdk,True,
executing,True,
aiofiles,False,True
pytest-asyncio,True,
pycryptodome,True,
opentelemetry-exporter-otlp,True,
aioitertools,True,
argcomplete,True,
semver,True,
arrow,True,
watchdog,True,
babel,True,
opensearch-py,True,
dulwich,True,
pyflakes,False,True
backports-tarfile,False,False
slack-sdk,True,
isort,True,
crashtest,True,
comm,True,
databricks-sql-connector,False,False
grpc-google-iam-v1,False,False
pbs-installer,True,
asttokens,True,
stack-data,True,
google-cloud-batch,True,
mypy,True,
google-cloud-secret-manager,True,
flake8,False,True
pure-eval,True,
aliyun-python-sdk-core,False,False
python-json-logger,True,
safetensors,True,
docstring-parser,True,
findpython,False,False
nodeenv,False,False
mysql-connector-python,True,
hpack,True,
identify,True,
pendulum,True,
execnet,True,
requests-file,False,False
durationpy,True,
pytest-xdist,False,False
elasticsearch,True,
pymongo,True,
google-analytics-admin,True,
smart-open,False,False
sphinx,True,
pycryptodomex,True,
py,True,
azure-keyvault-secrets,True,
mcp,True,
uv,True,
snowflake-sqlalchemy,False,False
email-validator,True,
msrest,True,
jsonpatch,False,True
watchfiles,True,
nvidia-cuda-cupti-cu12,False,False
jupyter-client,True,
datadog,True,
fqdn,False,False
jupyter-events,True,
mistune,True,
uvloop,True,
pytest-mock,True,
trio,True,
jsonpath-ng,False,False
dataclasses-json,True,
google-cloud-memcache,True,
nbformat,True,
jupyter-server-terminals,True,
pyrsistent,False,False
dbt-common,True,
ipykernel,False,False
azure-storage-file-datalake,True,
nbconvert,True,
httpx-sse,True,
pygithub,True,
omegaconf,False,False
zeep,True,
redshift-connector,False,False
requests-aws4auth,False,False
adal,False,False
editables,True,
google-cloud-orchestration-airflow,True,
pipenv,False,False
click-didyoumean,False,False
xlsxwriter,False,False
apache-beam,True,
libcst,True,
google-cloud-dataflow-client,True,
jupyter-server,True,
cramjam,False,False
llvmlite,False,False
altgraph,False,False
cmake,True,
h2,True,
gradio,True,
ibmcloudant,False,False
readabilipy,False,False
iso3166,True,
hyperframe,True,
nvidia-cuda-nvrtc-cu12,False,False
nbclient,True,
pint,True,
hjson,False,False
argon2-cffi,True,
pyhocon,False,False
aiocache,False,False
requests-kerberos,False,False
python-slugify,True,
azure-cosmosdb-nspkg,False,False
polyfactory,True,
lupa,False,True
rustworkx,True,
argon2-cffi-bindings,False,False
sphinx-argparse,False,False
jupyterlab,False,False
dependency-injector,True,
fake-useragent,True,
multivolumefile,True,
overrides,True,
invoke,True,
types-pillow,True,
shtab,True,
opentelemetry-resourcedetector-gcp,True,
cattrs,True,
nvidia-cufft-cu12,False,False
typeguard,True,
vertexai,False,False
google-cloud-resource-manager,True,
opentelemetry-exporter-prometheus,True,
lark,True,
loguru,True,
graphql-core,True,
apache-airflow-providers-common-sql,False,False
aenum,False,False
humanfriendly,False,True
interegular,True,
dbt-core,True,
locust-cloud,False,False
types-pygments,True,
dbl-tempo,False,False
selenium,True,
ordered-set,True,
daytona-api-client,True,
pulumi-command,True,
tcolorpy,True,
types-aiobotocore-s3,True,
scapy,True,
kaitaistruct,False,False
google-cloud-logging,True,
mypy-boto3-iam,True,
databricks-pypi1,False,False
wsproto,True,
django-simple-history,False,False
json5,True,
nvidia-cusparselt-cu12,False,False
deepdiff,True,
narwhals,True,
absl-py,True,
google-cloud-kms,True,
psycopg2,False,True
portalocker,True,
alibabacloud-credentials,False,False
crossplane,False,False
google-cloud-monitoring,True,
google-cloud-dlp,True,
types-cryptography,False,False
aiosmtplib,True,
google-cloud-vision,False,False
pylint,True,
google-cloud-appengine-logging,True,
opentelemetry-instrumentation-celery,False,False
sphinxcontrib-mermaid,False,False
opentelemetry-sdk-extension-aws,False,False
types-pyyaml,True,
google-cloud-compute,True,
pyairtable,True,
responses,True,
alibabacloud-tea,False,False
crc32c,True,
mypy-boto3-kinesis,True,
sphinx-jinja,False,False
immutables,True,
mutagen,True,
alibabacloud-openapi-util,False,False
google-cloud-tasks,True,
jupyterlab-server,True,
cli-exit-tools,True,
confluent-kafka,False,True
google-cloud-speech,True,
send2trash,False,True
colorlog,True,
sqlalchemy2-stubs,False,False
pyramid-jinja2,False,False
category-encoders,False,False
dbt-adapters,True,
wordcloud,False,False
numpy-typing-compat,True,
altair,True,
webcolors,False,False
opentelemetry-instrumentation-system-metrics,True,
faker,True,
